YYYY,MM,DD,Latitude,Longitude,AOD1,AOD3,STD3
2001,2,2,77.05,28.590999999999998,0.23,0.21600000000000003,0.039
2001,2,3,77.05,28.590999999999998,-1.0,0.272,0.001
2001,2,4,77.05,28.590999999999998,0.29,0.319,0.077
2001,2,6,77.05,28.590999999999998,0.26,0.261,0.11900000000000001
2001,2,7,77.05,28.590999999999998,0.27,0.254,0.021
2001,2,8,77.05,28.590999999999998,-1.0,0.325,0.054000000000000006
2001,2,9,77.05,28.590999999999998,0.1,0.142,0.055
2001,2,10,77.05,28.590999999999998,-1.0,0.41700000000000004,0.027999999999999997
2001,2,11,77.05,28.590999999999998,0.23,0.228,0.10800000000000001
2001,2,12,77.05,28.590999999999998,-1.0,0.251,0.04
2001,2,15,77.05,28.590999999999998,-1.0,1.317,0.028999999999999998
2001,2,16,77.05,28.590999999999998,-1.0,0.47700000000000004,-1.0
2001,2,17,77.05,28.590999999999998,-1.0,0.8640000000000001,0.08199999999999999
2001,2,18,77.05,28.590999999999998,0.43,0.48200000000000004,0.10800000000000001
2001,2,20,77.05,28.590999999999998,0.36,0.366,0.124
2001,2,21,77.05,28.590999999999998,-1.0,0.516,-1.0
2001,2,22,77.05,28.590999999999998,0.54,0.593,0.273
2001,2,25,77.05,28.590999999999998,-1.0,0.34,0.064
2001,2,26,77.05,28.590999999999998,-1.0,0.5670000000000001,0.11800000000000001
2001,3,1,77.05,28.590999999999998,0.32,0.273,0.127
2001,3,2,77.05,28.590999999999998,-1.0,0.365,-1.0
2001,3,3,77.05,28.590999999999998,0.31,0.314,0.079
2001,3,5,77.05,28.590999999999998,-1.0,0.424,0.126
2001,3,6,77.05,28.590999999999998,-1.0,0.324,0.128
2001,3,7,77.05,28.590999999999998,-1.0,0.34600000000000003,0.039
2001,3,8,77.05,28.590999999999998,0.26,0.374,0.10400000000000001
2001,3,9,77.05,28.590999999999998,-1.0,0.452,0.069
2001,3,10,77.05,28.590999999999998,0.32,0.402,0.14800000000000002
2001,3,11,77.05,28.590999999999998,-1.0,0.28,0.12300000000000001
2001,3,12,77.05,28.590999999999998,0.39,0.42700000000000005,0.069
2001,3,13,77.05,28.590999999999998,0.48,0.581,0.068
2001,3,15,77.05,28.590999999999998,-1.0,0.5429999999999999,0.19699999999999998
2001,3,16,77.05,28.590999999999998,-1.0,0.294,-1.0
2001,3,17,77.05,28.590999999999998,-1.0,0.284,0.11199999999999999
2001,3,18,77.05,28.590999999999998,-1.0,0.47,0.021
2001,3,20,77.05,28.590999999999998,0.48,0.49,0.111
2001,3,22,77.05,28.590999999999998,-1.0,0.474,0.13699999999999998
2001,3,23,77.05,28.590999999999998,-1.0,0.499,0.012
2001,3,24,77.05,28.590999999999998,-1.0,0.276,-1.0
2001,3,25,77.05,28.590999999999998,-1.0,0.5589999999999999,0.022000000000000002
2001,3,26,77.05,28.590999999999998,-1.0,0.374,0.031
2001,3,27,77.05,28.590999999999998,-1.0,0.287,0.048
2001,3,29,77.05,28.590999999999998,-1.0,0.606,0.155
2001,3,31,77.05,28.590999999999998,0.42,0.462,0.221
2001,4,2,77.05,28.590999999999998,0.42,0.452,0.124
2001,4,3,77.05,28.590999999999998,-1.0,0.325,0.006
2001,4,4,77.05,28.590999999999998,0.64,0.602,0.19399999999999998
2001,4,5,77.05,28.590999999999998,0.72,0.6890000000000001,0.037000000000000005
2001,4,6,77.05,28.590999999999998,0.42,0.387,0.102
2001,4,7,77.05,28.590999999999998,0.24,0.265,0.081
2001,4,8,77.05,28.590999999999998,-1.0,0.436,0.034
2001,4,9,77.05,28.590999999999998,0.2,0.3,0.107
2001,4,10,77.05,28.590999999999998,-1.0,0.887,0.022000000000000002
2001,4,11,77.05,28.590999999999998,0.9,0.9259999999999999,0.11199999999999999
2001,4,13,77.05,28.590999999999998,-1.0,0.732,0.094
2001,4,14,77.05,28.590999999999998,-1.0,0.433,0.11599999999999999
2001,4,16,77.05,28.590999999999998,-1.0,0.491,0.159
2001,4,18,77.05,28.590999999999998,-1.0,0.835,-1.0
2001,4,20,77.05,28.590999999999998,-1.0,0.465,0.135
2001,4,21,77.05,28.590999999999998,-1.0,0.249,0.048
2001,4,22,77.05,28.590999999999998,-1.0,0.35100000000000003,0.085
2001,4,23,77.05,28.590999999999998,0.09,0.26,0.14
2001,4,24,77.05,28.590999999999998,-1.0,0.609,-1.0
2001,4,25,77.05,28.590999999999998,0.47,0.498,0.16399999999999998
2001,4,26,77.05,28.590999999999998,-1.0,0.47,-1.0
2001,4,27,77.05,28.590999999999998,0.56,0.593,0.11800000000000001
2001,4,28,77.05,28.590999999999998,-1.0,0.445,0.065
2001,4,29,77.05,28.590999999999998,-1.0,0.44,0.121
2001,5,1,77.05,28.590999999999998,-1.0,0.552,0.024
2001,5,2,77.05,28.590999999999998,-1.0,0.51,0.033
2001,5,4,77.05,28.590999999999998,-1.0,0.127,-1.0
2001,5,5,77.05,28.590999999999998,-1.0,0.317,0.023
2001,5,6,77.05,28.590999999999998,-1.0,0.391,0.086
2001,5,8,77.05,28.590999999999998,-1.0,1.3130000000000002,0.157
2001,5,9,77.05,28.590999999999998,-1.0,0.975,0.223
2001,5,10,77.05,28.590999999999998,-1.0,0.813,-1.0
2001,5,11,77.05,28.590999999999998,-1.0,0.698,0.08199999999999999
2001,5,12,77.05,28.590999999999998,-1.0,0.488,-1.0
2001,5,13,77.05,28.590999999999998,-1.0,0.701,0.063
2001,5,15,77.05,28.590999999999998,-1.0,1.213,-1.0
2001,5,16,77.05,28.590999999999998,-1.0,1.3619999999999999,0.19399999999999998
2001,5,22,77.05,28.590999999999998,-1.0,0.542,0.121
2001,5,23,77.05,28.590999999999998,-1.0,0.562,0.044000000000000004
2001,5,25,77.05,28.590999999999998,-1.0,0.59,0.175
2001,5,27,77.05,28.590999999999998,-1.0,0.8440000000000001,0.064
2001,5,29,77.05,28.590999999999998,0.29,0.619,0.313
2001,5,30,77.05,28.590999999999998,1.42,1.4269999999999998,-1.0
2001,5,31,77.05,28.590999999999998,-1.0,0.623,0.151
2001,6,1,77.05,28.590999999999998,0.94,0.915,0.036000000000000004
2001,6,6,77.05,28.590999999999998,-1.0,1.4080000000000001,0.094
2001,6,7,77.05,28.590999999999998,-1.0,1.7690000000000001,-1.0
2001,6,8,77.05,28.590999999999998,-1.0,0.948,0.159
2001,6,10,77.05,28.590999999999998,1.02,1.246,0.273
2001,6,12,77.05,28.590999999999998,0.5,0.446,0.051
2001,7,18,77.05,28.590999999999998,-1.0,1.2409999999999999,-1.0
2001,8,2,77.05,28.590999999999998,0.83,0.867,0.032
2001,8,3,77.05,28.590999999999998,-1.0,1.374,0.16699999999999998
2001,8,15,77.05,28.590999999999998,-1.0,0.53,0.102
2001,8,19,77.05,28.590999999999998,0.76,0.7909999999999999,0.042
2001,8,21,77.05,28.590999999999998,-1.0,0.535,0.023
2001,8,22,77.05,28.590999999999998,-1.0,0.601,0.091
2001,8,23,77.05,28.590999999999998,-1.0,0.616,0.005
2001,8,24,77.05,28.590999999999998,-1.0,0.618,0.07400000000000001
2001,8,25,77.05,28.590999999999998,-1.0,0.499,0.069
2001,8,26,77.05,28.590999999999998,0.38,0.36200000000000004,0.124
2001,8,27,77.05,28.590999999999998,0.3,0.293,0.045
2001,8,28,77.05,28.590999999999998,0.46,0.48100000000000004,0.042
2001,8,29,77.05,28.590999999999998,0.4,0.46799999999999997,0.08900000000000001
2001,8,30,77.05,28.590999999999998,-1.0,0.523,0.047
2001,8,31,77.05,28.590999999999998,0.52,0.59,0.095
2001,9,3,77.05,28.590999999999998,0.61,0.61,0.063
2001,9,4,77.05,28.590999999999998,0.58,0.588,0.027000000000000003
2001,9,5,77.05,28.590999999999998,0.67,0.65,0.032
2001,9,6,77.05,28.590999999999998,-1.0,0.667,0.05
2001,9,7,77.05,28.590999999999998,0.56,0.632,0.068
2001,9,9,77.05,28.590999999999998,0.43,0.444,0.09300000000000001
2001,9,10,77.05,28.590999999999998,-1.0,0.49,0.040999999999999995
2001,9,11,77.05,28.590999999999998,-1.0,0.488,0.11699999999999999
2001,9,12,77.05,28.590999999999998,-1.0,0.361,0.077
2001,9,14,77.05,28.590999999999998,0.64,0.723,0.142
2001,9,16,77.05,28.590999999999998,0.3,0.321,0.107
2001,9,17,77.05,28.590999999999998,-1.0,0.5,-1.0
2001,9,18,77.05,28.590999999999998,0.42,0.41200000000000003,0.09
2001,9,19,77.05,28.590999999999998,-1.0,0.371,0.049
2001,9,20,77.05,28.590999999999998,-1.0,0.18100000000000002,0.114
2001,9,21,77.05,28.590999999999998,-1.0,0.31,0.095
2001,9,22,77.05,28.590999999999998,-1.0,0.418,-1.0
2001,9,23,77.05,28.590999999999998,-1.0,0.42200000000000004,0.069
2001,9,25,77.05,28.590999999999998,0.28,0.41700000000000004,0.125
